_id,disc_number,duration_ms,explicit,external_ids,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
6417839bc901a82deddf7539,1,234893,True,{'isrc': 'USEE10240932'},75DjPjiIp2fvJDjtt41Jfs,False,True,Gossip Folks (feat. Ludacris),56,https://p.scdn.co/mp3-preview/2e2531a8e6005c07fccb8320c288422ea9ac7959?cid=cb4ec505f95b416290dde5564512932e,3,track,spotify:track:75DjPjiIp2fvJDjtt41Jfs
6417839cc901a82deddf753a,1,132226,True,{'isrc': 'USQX91903111'},4TVsTKQVeC99tCjfRKLeob,False,True,white tee,77,https://p.scdn.co/mp3-preview/48e98cbd772dee29416def3667f6952718bbfb9d?cid=cb4ec505f95b416290dde5564512932e,9,track,spotify:track:4TVsTKQVeC99tCjfRKLeob
6417839cc901a82deddf753b,1,177386,True,{'isrc': 'UKELY2100034'},186bb3vDk1yzNK5u3e7h7O,False,True,your favorite dress,74,https://p.scdn.co/mp3-preview/48e98ea8ee30dbd2598bb8ee2f19baf2db58d993?cid=cb4ec505f95b416290dde5564512932e,5,track,spotify:track:186bb3vDk1yzNK5u3e7h7O
6417839cc901a82deddf753c,1,149360,True,{'isrc': 'USQX91903113'},7pIorU6vXlFoXmHUdsbpfX,False,True,witchblades,73,https://p.scdn.co/mp3-preview/c154b239d39372d07ddc77f722d3e5232179c83e?cid=cb4ec505f95b416290dde5564512932e,3,track,spotify:track:7pIorU6vXlFoXmHUdsbpfX
6417839cc901a82deddf753d,1,150160,True,{'isrc': 'USQX91903112'},4B6FybzCJwJLdRxuC2lRmY,False,True,cobain,66,https://p.scdn.co/mp3-preview/3bfc3d85783b7902e3154a08d2a868843d068ee3?cid=cb4ec505f95b416290dde5564512932e,6,track,spotify:track:4B6FybzCJwJLdRxuC2lRmY
6417839cc901a82deddf753e,1,156800,True,{'isrc': 'UKELY1700033'},7Hxwkqz6i6txDBW3wwSWj2,False,True,white wine,66,https://p.scdn.co/mp3-preview/a88f7ef06508e61f0b17ab67c54388fc17737c7e?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:7Hxwkqz6i6txDBW3wwSWj2
6417839cc901a82deddf753f,1,144906,True,{'isrc': 'UKELY2100030'},5DOj44TzDNJbYcStxI6Fbg,False,True,castles,65,https://p.scdn.co/mp3-preview/517a63024eecf89cb03d014a4530f5505bf5f722?cid=cb4ec505f95b416290dde5564512932e,2,track,spotify:track:5DOj44TzDNJbYcStxI6Fbg
6417839cc901a82deddf7540,1,185886,True,{'isrc': 'QZJ4Z1900002'},4IOmpWHND1FVjT7EFeZhLp,False,True,Beautiful Nightmare,58,,7,track,spotify:track:4IOmpWHND1FVjT7EFeZhLp
6417839cc901a82deddf7541,1,98742,True,{'isrc': 'QZJ4Z1900057'},71GFsgwclHNzYn8qiyUY7M,False,True,Uh Oh,58,,1,track,spotify:track:71GFsgwclHNzYn8qiyUY7M
6417839cc901a82deddf7542,1,223093,True,{'isrc': 'UKELY2100029'},0rIbcCPHzlhCsN19MZw8tz,False,True,pain,54,https://p.scdn.co/mp3-preview/1dbb0233d7954c31bc7f6c6b2436ddbe0fc592aa?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:0rIbcCPHzlhCsN19MZw8tz
